scale_multi,density_offset,vertices_lr,final_vertices_lr
0.5,-5,8.00E-05,8.00E-06
0.5,-5,4.00E-04,4.00E-05
0.5,-5,2.00E-04,2.00E-05
0.5,-5,1.00E-04,1.00E-05
0.5,-3,8.00E-05,8.00E-06
0.5,-3,4.00E-04,4.00E-05
0.5,-3,2.00E-04,2.00E-05
0.5,-3,1.00E-04,1.00E-05
1,-5,8.00E-05,8.00E-06
1,-5,4.00E-04,4.00E-05
1,-5,2.00E-04,2.00E-05
1,-5,1.00E-04,1.00E-05
1,-3,8.00E-05,8.00E-06
1,-3,4.00E-04,4.00E-05
1,-3,2.00E-04,2.00E-05
1,-3,1.00E-04,1.00E-05
2,-5,8.00E-05,8.00E-06
2,-5,4.00E-04,4.00E-05
2,-5,2.00E-04,2.00E-05
2,-5,1.00E-04,1.00E-05
2,-3,8.00E-05,8.00E-06
2,-3,4.00E-04,4.00E-05
2,-3,2.00E-04,2.00E-05
2,-3,1.00E-04,1.00E-05
0.25,-5,8.00E-05,8.00E-06
0.25,-5,4.00E-04,4.00E-05
0.25,-5,2.00E-04,2.00E-05
0.25,-5,1.00E-04,1.00E-05
0.25,-3,8.00E-05,8.00E-06
0.25,-3,4.00E-04,4.00E-05
0.25,-3,2.00E-04,2.00E-05
0.25,-3,1.00E-04,1.00E-05