budget,tile_size,sh_deg,num_densify_iter,num_densification_samples,psnr,vertices_lr,densify_start,final_encoding_lr,log2_hashmap_size,final_network_lr,additional_pts,clip_multi,split_std,s_param_lr,density_offset,render_size_min,lambda_dist,net_weight_decay,gpu_id,sh_degree_interval,per_level_scale,output_folder,delaunay_start,clone_schedule,image_folder,lambda_ssim,L,output_path,rgb_param_lr,ladder_p,sh_param_lr,split_mode,encoding_lr,cloning_interval,pre_multi,final_vertices_lr,network_lr,scale_multi,vertices_lr_max_steps,error,dataset_path,vertices_lr_delay_mult,num_iter,vertices_beta,eval,weight_decay
1000000,16,3,3500,50,19.163459155868228,0.0001,2000,0.001,22,0.001,0,0.0001,0.1,0.025,-1,0,0.001,0.0,3,500,2,output/lp-0.10_pm1000.00_ni2000_ds2000_93dee5,1500,linear,images_4,0.1,10,output/lp-0.10_pm1000.00_ni2000_ds2000_93dee5,0.025,-0.1,0.0025,barycentric,0.01,500,1000.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.152802577627863,0.0001,2000,0.001,22,0.001,0,0.0001,0.1,0.025,-1,0,0.001,0.0,1,500,2,output/lp-0.10_pm250.00_ni2000_ds2000_d44238,1500,linear,images_4,0.1,10,output/lp-0.10_pm250.00_ni2000_ds2000_d44238,0.025,-0.1,0.0025,barycentric,0.01,500,250.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.21497216601912,0.0001,2000,0.001,22,0.001,0,0.0001,0.1,0.025,-1,0,0.001,0.0,2,500,2,output/lp-0.10_pm500.00_ni2000_ds2000_5a4be5,1500,linear,images_4,0.1,10,output/lp-0.10_pm500.00_ni2000_ds2000_5a4be5,0.025,-0.1,0.0025,barycentric,0.01,500,500.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.21446434885515,0.0001,2000,0.001,22,0.001,0,0.0001,0.1,0.025,-1,0,0.001,0.0,0,500,2,output/lp-0.10_pm125.00_ni2000_ds2000_0e6e44,1500,linear,images_4,0.1,10,output/lp-0.10_pm125.00_ni2000_ds2000_0e6e44,0.025,-0.1,0.0025,barycentric,0.01,500,125.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.200678702388906,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,1,500,2,output/lp-0.10_pm4000.00_ni2000_ds2000_7889b1,1500,linear,images_4,0.1,10,output/lp-0.10_pm4000.00_ni2000_ds2000_7889b1,0.025,-0.1,0.0025,barycentric,0.01,500,4000.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.21581477468754,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,2,500,2,output/lp-0.50_pm125.00_ni2000_ds2000_57fbd8,1500,linear,images_4,0.1,10,output/lp-0.50_pm125.00_ni2000_ds2000_57fbd8,0.025,-0.5,0.0025,barycentric,0.01,500,125.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.208493732576525,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,0,500,2,output/lp-0.10_pm2000.00_ni2000_ds2000_3f3b2b,1500,linear,images_4,0.1,10,output/lp-0.10_pm2000.00_ni2000_ds2000_3f3b2b,0.025,-0.1,0.0025,barycentric,0.01,500,2000.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.214271668635977,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,3,500,2,output/lp-0.50_pm250.00_ni2000_ds2000_f9eab1,1500,linear,images_4,0.1,10,output/lp-0.50_pm250.00_ni2000_ds2000_f9eab1,0.025,-0.5,0.0025,barycentric,0.01,500,250.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
,,,,,,,2000,,,,,,,,,,,,2,,,output/lp-0.50_pm2000.00_ni2000_ds2000_ecf29a,,,,,,,,-0.50,,,,,2000.00,,,,,Process failed and no JSON output file found,,,2000,,,
1000000,16,3,3500,50,19.237828718783554,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,3,500,2,output/lp-0.50_pm4000.00_ni2000_ds2000_9f74cb,1500,linear,images_4,0.1,10,output/lp-0.50_pm4000.00_ni2000_ds2000_9f74cb,0.025,-0.5,0.0025,barycentric,0.01,500,4000.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.1540890602193,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,1,500,2,output/lp-0.50_pm1000.00_ni2000_ds2000_4295bd,1500,linear,images_4,0.1,10,output/lp-0.50_pm1000.00_ni2000_ds2000_4295bd,0.025,-0.5,0.0025,barycentric,0.01,500,1000.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.18039854733882,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,0,500,2,output/lp-0.50_pm500.00_ni2000_ds2000_76cd03,1500,linear,images_4,0.1,10,output/lp-0.50_pm500.00_ni2000_ds2000_76cd03,0.025,-0.5,0.0025,barycentric,0.01,500,500.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.16345013180298,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,0,500,2,output/lp-1.00_pm125.00_ni2000_ds2000_a434ca,1500,linear,images_4,0.1,10,output/lp-1.00_pm125.00_ni2000_ds2000_a434ca,0.025,-1.0,0.0025,barycentric,0.01,500,125.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.136585281392197,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,2,500,2,output/lp-1.00_pm500.00_ni2000_ds2000_2ca2fc,1500,linear,images_4,0.1,10,output/lp-1.00_pm500.00_ni2000_ds2000_2ca2fc,0.025,-1.0,0.0025,barycentric,0.01,500,500.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.192137554379656,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,1,500,2,output/lp-1.00_pm250.00_ni2000_ds2000_2cbf33,1500,linear,images_4,0.1,10,output/lp-1.00_pm250.00_ni2000_ds2000_2cbf33,0.025,-1.0,0.0025,barycentric,0.01,500,250.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
,,,,,,,2000,,,,,,,,,,,,2,,,output/lp-2.00_pm125.00_ni2000_ds2000_7faefb,,,,,,,,-2.00,,,,,125.00,,,,,Process failed and no JSON output file found,,,2000,,,
1000000,16,3,3500,50,19.139080363386025,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,3,500,2,output/lp-1.00_pm1000.00_ni2000_ds2000_3be4e0,1500,linear,images_4,0.1,10,output/lp-1.00_pm1000.00_ni2000_ds2000_3be4e0,0.025,-1.0,0.0025,barycentric,0.01,500,1000.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
1000000,16,3,3500,50,19.18060738209299,0.0001,2000,0.001,22,0.001,,0.0001,0.1,0.025,-1,0,0.001,0.0,0,500,2,output/lp-1.00_pm2000.00_ni2000_ds2000_a99fd2,1500,linear,images_4,0.1,10,output/lp-1.00_pm2000.00_ni2000_ds2000_a99fd2,0.025,-1.0,0.0025,barycentric,0.01,500,2000.0,0.0001,0.001,2.0,7000,,/optane/nerf_datasets/360/bicycle,0.01,2000,"[0.9, 0.99]",True,0.01
